exercise,label,kneeAngle,hipAngle,elbowAngle
squats,1,80.0,70.0,160.0
squats,0,120.0,110.0,160.0
squats,1,85.0,75.0,155.0
squats,0,140.0,130.0,150.0
Squats,1,1.9975774781968891,103.56364563348718,162.30019322762234
Squats,0,75.71698884427028,148.11718176875894,168.23017975728942
Squats,1,122.53866283087768,83.85630765300786,161.5617367396644
Squats,1,12.316681734398935,48.397134798155754,169.90298779262974
Squats,1,122.52696878708161,167.50663413437388,175.49085266801916
Squats,1,28.08457503083227,118.03677546578209,173.61719708997032
Squats,0,85.18539542566485,107.77585274972702,175.168467989052
Squats,0,87.69242067165679,26.071130128262542,173.3175091367755
Bicep Curls,1,26.673610935154798,172.21912661193588,174.93575490546021
Bicep Curls,1,23.219236105489603,169.28383449539734,167.26510893135855
Bicep Curls,0,83.75695164080612,169.45444595205979,86.10579440734499
Bicep Curls,1,84.43631311017496,172.97583718662048,173.29416857054522
Bicep Curls,1,75.81061301665797,163.16204713900717,175.49110722449583
Bicep Curls,1,78.76111099277831,156.0119871847625,178.8165176930418
Bicep Curls,0,84.75128702620268,167.67019942456224,4.939636452237691
Bicep Curls,0,93.74323683376774,172.90973157525252,91.24500232752884
Bicep Curls,0,143.93080602722247,143.8114173051667,179.1630412985978
Side Leg Raises,1,99.34358752141488,155.96563864941683,177.59419151430583
Side Leg Raises,1,91.19852660498302,172.49862941165335,164.59101769857637
Side Leg Raises,1,82.20879310764501,162.50063385593228,175.41888651126504
Side Leg Raises,1,79.50728050683063,165.09520160927872,179.2137155436051
Side Leg Raises,1,57.902910185365464,147.5876642610125,176.62111741392894
Side Leg Raises,0,66.48509778396904,175.10142188670167,151.48376924864144
Squats,0,24.355324807663404,124.15096644674237,178.0072259180826
Squats,0,72.9632325390965,167.77273639746383,175.9108595318234
Squats,1,173.71143075875054,173.6170739744689,169.43347278653275
Squats,1,75.83898541013781,137.12464052453583,178.57501285205785
Squats,1,124.45464520492071,162.69455356198895,172.76733240812845
Squats,1,114.74671594068543,163.1319613360243,173.4658453711097
Squats,1,4.300927975957208,23.584513949157035,171.83405432024375
Squats,0,25.33186281991286,59.87175283050541,173.22307763345236
Squats,0,90.29555422165221,153.76290151636758,163.94063134192882
Squats,1,167.54385224919818,114.57943407087797,176.42001846323402
Squats,1,91.12720134331902,165.88643183925407,176.71432050459387
Squats,0,85.67218875827528,163.1064364341581,178.7971884268613
Squats,1,97.94363719152187,45.81035591428527,177.61087295814724
Squats,0,4.324538591005686,60.1074091309077,57.67886331063647
Squats,0,75.18873837188177,158.2604277503024,177.49105463007515
Squats,0,73.6461755669348,141.37563327532965,173.42084478630406
Squats,0,90.26229874442451,164.1590258050894,168.34486074376298
Squats,1,14.839041166508798,95.45255861983986,169.64047601151898
Bicep Curls,1,108.91106334699138,179.36936700611778,175.6020777781124
Bicep Curls,0,72.58897120158737,171.3330276918199,178.466322996508
Bicep Curls,0,50.55414485930723,137.2348583808174,95.75930949981499
Bicep Curls,1,99.71354693069851,169.6858735707387,175.64073826528937
Bicep Curls,1,125.3906726239085,176.9033822325469,178.4885141629606
Bicep Curls,1,79.03294638128227,168.0967046772676,179.7909137391646
Bicep Curls,1,88.40358055375624,166.2951760727162,176.3324364535935
Bicep Curls,0,60.54629939617505,124.22231158060472,160.95315412173727
Bicep Curls,0,99.12987881966977,157.46759247246356,174.00830467336834
Bicep Curls,0,165.18707256915576,40.70314190586618,35.357630998872985
Bicep Curls,0,109.19766694142547,176.30576892512713,174.91610894171126
Bicep Curls,1,105.46616941250831,177.10574998033383,177.18748970541364
Bicep Curls,1,149.90215368285195,176.34366320412414,178.83545278044744
Bicep Curls,0,160.24647862534434,171.8110757726113,175.56579876667652
Bicep Curls,1,99.10160753740145,179.20773499370722,176.65597053753098
Bicep Curls,1,164.68697148938674,167.06310448451367,179.2616596358767
Bicep Curls,0,132.9319003901504,113.2920017127086,163.789178577624
Bicep Curls,0,22.416493174552123,86.44444122194578,127.10347266289138
Bicep Curls,1,120.5193294080124,174.49575891823807,157.50066867400184
Bicep Curls,0,103.67083141097123,155.339656901478,170.80808158061404
Bicep Curls,0,78.84370434574453,81.329519174033,121.6118608536427
Side Leg Raises,0,177.09093690826424,175.0741310482617,179.07791422030334
Side Leg Raises,1,91.985220929015,178.18539976019417,176.63283254295627
Side Leg Raises,0,100.01347838025787,168.25632863239534,175.56275629223302
Side Leg Raises,1,94.18718441524952,179.71201865937832,177.75433091577338
Side Leg Raises,1,88.55211768093439,163.8753405056978,170.71206453646008
Side Leg Raises,0,123.81272270218895,170.05418536009518,174.87633966601024
Side Leg Raises,0,170.41252340913127,163.08328894142656,176.48782317737647
Side Leg Raises,1,127.65238785063593,165.94490853022484,170.66130846277463
Side Leg Raises,1,25.309221275922468,171.8545147610878,178.5270945004962
Side Leg Raises,1,56.62413546093834,170.56629850112853,129.47436367747036
Side Leg Raises,1,33.33869812332337,175.047209535965,124.37790908192669
Side Leg Raises,1,144.0245569764703,178.80099847989885,178.2436516777998
Side Leg Raises,1,88.85887656352634,169.21873535234408,173.72019709348578
Side Leg Raises,1,78.7595458741496,169.45075766508637,177.4426747415438
Side Leg Raises,0,162.94737886401384,164.75246541944375,135.00857843926758
Side Leg Raises,0,84.42632854853984,160.7839607505313,132.92880612050757
Side Leg Raises,0,46.00725095655644,149.55226744459105,177.5073498313023
Side Leg Raises,0,104.14316527430483,76.63940246854624,174.94401645076678
Side Leg Raises,1,7.856713884630953,170.89991637518955,141.92916087262907
Side Leg Raises,0,96.62130618066702,160.03663066934533,172.24970022916915
Side Leg Raises,1,68.24888177328522,138.28280492839545,167.31966806432447
Side Leg Raises,1,75.5057461425108,170.22515723281157,155.80939244773157
Side Leg Raises,0,134.3120117449863,97.90689095634787,175.33085581425237
Side Leg Raises,0,103.15190669317852,178.57532634183667,158.92324134911388
Squats,1,87.66014726982579,178.2903198144069,167.2384316583763
Squats,1,56.477971265087646,177.37727427945975,170.4662319184805
Squats,0,27.671391785664184,17.906295632672204,47.467375343484306
Squats,0,126.85873147130769,113.40547207143817,151.0626321993168
Squats,1,65.86513869956823,165.34840570375297,169.76387296507326
Bicep Curls,1,78.97353714197028,166.08906603030016,175.716855575159
Bicep Curls,0,85.3776313775992,169.68658610079515,88.9147129205724
Bicep Curls,0,94.86045769942479,131.68750818555088,95.12692753729316
Bicep Curls,0,164.65765763519582,174.65856992941667,110.00277859506386
Bicep Curls,1,48.247694341721434,174.48169259257625,173.15340089712032
Bicep Curls,1,88.87670981222513,179.74742447598453,173.63036347348077
Bicep Curls,0,47.07532358777315,112.58825109422591,146.39686123821232
Bicep Curls,0,20.64399991776513,130.62378269407066,141.29594287448924
Bicep Curls,1,27.79705237585176,174.51420188336158,169.25119960760526
Bicep Curls,0,107.72173163759365,119.39104650493938,124.37923160039507
Bicep Curls,0,72.51512504608596,172.81154470245332,158.5507374150158
Bicep Curls,0,36.972095183437915,62.077564312467224,35.46750282350706
Bicep Curls,0,19.943176510392657,65.26261486649146,30.9075031542747
Bicep Curls,0,98.41505182810432,76.93217041781158,44.69349471119049
Bicep Curls,0,11.67181559289578,145.72862191480908,100.24232801991516
Bicep Curls,0,105.85991748058802,175.9052859008074,4.603695981401721
Bicep Curls,1,91.84543057601492,174.69355560614682,177.6874526606296
Bicep Curls,0,79.7748555333122,177.24503539631328,15.551561406495107
Bicep Curls,1,77.7624906484306,178.0861895304435,173.3462691290197
Bicep Curls,1,67.75041862244584,176.43187299203038,171.82627611675645
Bicep Curls,0,59.43749019909505,163.1510473627736,147.8633830387967
Bicep Curls,0,74.93706813871404,165.18805649843642,153.65262094991962
Bicep Curls,0,31.517975494513774,150.15265654513556,90.9564674306477
Bicep Curls,0,8.045906440060493,160.99474326019788,93.62537484657852
Bicep Curls,0,54.39877340721574,175.54206204939365,102.25489891330596
Bicep Curls,0,141.3976085340806,171.42199476164123,137.38759494852633
Bicep Curls,0,74.92986077531586,148.28031049219825,164.1271050381005
Bicep Curls,0,76.9442301171199,157.30865572757853,121.83803964126732
Bicep Curls,1,64.27136399052075,171.6527096830332,169.8986668058725
Bicep Curls,1,78.20887665414621,163.2456640806316,171.737591882156
Squats,1,84.2460445570123,178.39280070844984,173.82512050481495
Squats,1,86.58083159056379,178.37435587305887,173.35915082117998
Squats,1,72.5466692492184,176.57671350366715,168.44460356730553
Squats,1,89.30330351458565,177.02978609031683,171.53886109211624
Squats,1,83.9080561870183,170.58092013999124,151.94468010774477
Squats,1,85.59316656835412,165.9667328282896,148.23353557376674
Squats,1,61.47747397675433,169.21307270138396,143.62062736868918
Squats,1,78.52413688164839,166.30873401660338,136.6091436044
Squats,1,85.97883369602283,163.82823544718676,135.65111158008204
Squats,1,32.616415904574936,170.1842139869945,137.1306694306057
Squats,1,71.95357495627431,179.89332863102587,129.06988279446176
Squats,1,38.094530067918534,179.25634817814102,163.5344566938176
Squats,1,55.21533559507826,163.60971923790837,146.44474444461395
Squats,1,78.03729405958009,176.81138661916037,133.5621477096792
Squats,1,79.02308073886766,178.18952629030687,155.0002015657551
Squats,0,6.139850846049307,60.56194322492096,23.265831278273136
Squats,0,115.92511494079538,103.28637576700183,49.41972248245994
Squats,0,14.266090251190642,78.64144881366606,40.29602603154516
Squats,0,8.38629467170898,77.77791123560017,4.041775390199694
Squats,0,12.070438250041288,155.83618535503317,157.66609077479723
Squats,0,113.9245088378014,175.89899271804177,165.47728323046442
Squats,0,60.93174608411128,128.2993468260659,176.30122876095243
Squats,0,25.707390575097584,140.48605392437474,176.90450174315265
Squats,0,110.34502379906009,163.19474863935278,169.86791021228072
Squats,0,57.56056806261154,140.97683200281264,152.8429469851141
Squats,0,44.0238835600581,164.13007160547747,108.51650045093747
Squats,0,60.8786841099051,86.71697590858714,161.0169311095018
